,STATE,COUNTY,STNAME,CTYNAME,YEAR,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
4541,51,37,Virginia,Charlotte County,2019,11880,5887,5993,4170,4132,1566,1715,26,22,11,23,0,1,114,100,4273,4224,1636,1779,68,57,27,32,3,5,5702,5903,4053,4065,1539,1708,18,19,11,23,0,0,81,88,4124,4147,1596,1763,43,49,22,31,2,4,185,90,117,67,27,7,8,3,0,0,0,1,33,12,149,77,40,16,25,8,5,1,1,1
4598,51,41,Virginia,Chesterfield County,2010,317198,152787,164411,110420,115414,32701,38553,1004,857,4987,5609,167,155,3508,3823,113495,118718,34758,40858,2043,2102,6083,6752,298,280,140612,153492,100688,106843,31554,37312,409,449,4902,5525,76,80,2983,3283,103310,109674,33322,39301,1193,1445,5888,6568,178,163,12175,10919,9732,8571,1147,1241,595,408,85,84,91,75,525,540,10185,9044,1436,1557,850,657,195,184,120,117
4617,51,41,Virginia,Chesterfield County,2011,320307,153984,166323,110647,116113,33402,39422,978,839,5142,5787,161,158,3654,4004,113875,119573,35539,41835,2029,2114,6296,6977,293,319,141644,155108,100751,107276,32239,38156,409,449,5047,5703,74,81,3124,3443,103512,110249,34085,40238,1207,1461,6096,6790,173,199,12340,11215,9896,8837,1163,1266,569,390,95,84,87,77,530,561,10363,9324,1454,1597,822,653,200,187,120,120
4636,51,41,Virginia,Chesterfield County,2012,323880,155762,168118,111671,116774,33940,40310,969,838,5253,5979,167,167,3762,4050,114993,120281,36163,42779,2040,2114,6466,7197,297,317,143068,156462,101420,107606,32747,38990,406,427,5162,5888,76,81,3257,3470,104292,110596,34690,41123,1230,1430,6278,7002,178,192,12694,11656,10251,9168,1193,1320,563,411,91,91,91,86,505,580,10701,9685,1473,1656,810,684,188,195,119,125
4655,51,41,Virginia,Chesterfield County,2013,327612,157700,169912,112509,117558,34750,40979,1003,838,5393,6098,179,172,3866,4267,115936,121262,37021,43588,2073,2166,6623,7388,331,325,144556,157708,101929,107909,33503,39648,426,424,5293,5991,81,79,3324,3657,104868,111078,35477,41896,1259,1463,6418,7164,193,192,13144,12204,10580,9649,1247,1331,577,414,100,107,98,93,542,610,11068,10184,1544,1692,814,703,205,224,138,133
4674,51,41,Virginia,Chesterfield County,2014,332093,159981,172112,113865,118844,35332,41595,1009,852,5549,6235,186,187,4040,4399,117441,122663,37741,44289,2099,2183,6826,7584,335,352,146433,159495,102928,108850,34089,40227,406,435,5437,6121,84,90,3489,3772,106020,112114,36176,42551,1251,1481,6623,7349,203,215,13548,12617,10937,9994,1243,1368,603,417,112,114,102,97,551,627,11421,10549,1565,1738,848,702,203,235,132,137
4693,51,41,Virginia,Chesterfield County,2015,334915,161434,173481,114220,119197,36069,42279,1029,857,5736,6356,206,194,4174,4598,117913,123213,38546,45101,2176,2232,7082,7732,347,358,147331,160180,102850,108651,34761,40832,417,436,5620,6242,87,88,3596,3931,106034,112082,36914,43257,1294,1515,6857,7511,188,209,14103,13301,11370,10546,1308,1447,612,421,116,114,119,106,578,667,11879,11131,1632,1844,882,717,225,221,159,149
4712,51,41,Virginia,Chesterfield County,2016,338479,163265,175214,115037,119888,36771,43066,1013,888,5910,6455,217,206,4317,4711,118870,123993,39355,45953,2150,2270,7300,7894,382,384,148526,161238,103107,108798,35404,41545,395,423,5796,6344,98,95,3726,4033,106429,112312,37647,44021,1272,1504,7082,7656,227,218,14739,13976,11930,11090,1367,1521,618,465,114,111,119,111,591,678,12441,11681,1708,1932,878,766,218,238,155,166
4731,51,41,Virginia,Chesterfield County,2017,343276,165542,177734,116027,121089,37667,44059,1024,918,6007,6537,224,211,4593,4920,120117,125392,40422,47088,2241,2321,7500,8056,390,386,149984,162930,103457,109300,36161,42458,408,425,5892,6417,105,99,3961,4231,106985,112983,38553,45061,1330,1520,7263,7820,239,231,15558,14804,12570,11789,1506,1601,616,493,115,120,119,112,632,689,13132,12409,1869,2027,911,801,237,236,151,155
4750,51,41,Virginia,Chesterfield County,2018,348281,167931,180350,116678,121930,39035,45524,1054,965,6106,6649,229,211,4829,5071,120980,126385,41948,48631,2296,2421,7666,8232,406,414,151570,164825,103479,109609,37438,43828,420,426,5982,6531,106,101,4145,4330,107169,113417,39939,46489,1352,1543,7410,7975,253,249,16361,15525,13199,12321,1597,1696,634,539,124,118,123,110,684,741,13811,12968,2009,2142,944,878,256,257,153,165
4769,51,41,Virginia,Chesterfield County,2019,352802,169919,182883,117490,123067,39968,46593,1092,994,6210,6749,240,217,4919,5263,121884,127705,42959,49833,2348,2480,7825,8362,430,412,152827,166593,103719,110162,38307,44801,415,419,6083,6627,110,114,4193,4470,107461,114096,40876,47562,1349,1550,7555,8102,254,258,17092,16290,13771,12905,1661,1792,677,575,127,122,130,103,726,793,14423,13609,2083,2271,999,930,270,260,176,154
4826,51,43,Virginia,Clarke County,2010,14012,6979,7033,6376,6431,376,367,16,26,67,80,4,3,140,126,6505,6545,445,440,74,65,89,107,14,11,6719,6794,6147,6230,375,363,13,21,58,70,2,3,124,107,6261,6327,437,424,60,54,80,94,11,9,260,239,229,201,1,4,3,5,9,10,2,0,16,19,244,218,8,16,14,11,9,13,3,2
4845,51,43,Virginia,Clarke County,2011,14190,7086,7104,6461,6507,390,354,18,27,69,80,4,3,144,133,6589,6624,460,431,70,75,101,107,15,6,6830,6856,6234,6297,389,350,14,22,59,70,2,3,132,114,6352,6398,453,412,61,63,89,94,11,6,256,248,227,210,1,4,4,5,10,10,2,0,12,19,237,226,7,19,9,12,12,13,4,0
4864,51,43,Virginia,Clarke County,2012,14245,7079,7166,6452,6529,379,367,19,32,75,88,4,3,150,147,6587,6656,455,452,78,78,109,123,8,13,6823,6916,6226,6317,377,363,15,26,63,78,2,3,140,129,6351,6428,447,438,69,64,97,110,6,11,256,250,226,212,2,4,4,6,12,10,2,0,10,18,236,228,8,14,9,14,12,13,2,2
4883,51,43,Virginia,Clarke County,2013,14253,7072,7181,6443,6549,362,356,21,34,73,85,5,3,168,154,6599,6685,446,441,77,87,114,124,10,8,6797,6907,6199,6315,361,349,16,27,60,75,3,3,158,138,6345,6437,437,428,69,71,101,110,8,8,275,274,244,234,1,7,5,7,13,10,2,0,10,16,254,248,9,13,8,16,13,14,2,0
4902,51,43,Virginia,Clarke County,2014,14315,7126,7189,6514,6556,351,348,19,31,71,94,5,3,166,157,6664,6695,430,437,74,78,114,133,12,7,6804,6906,6228,6315,345,339,13,23,59,84,3,3,156,142,6369,6440,417,423,64,63,102,119,10,6,322,283,286,241,6,9,6,8,12,10,2,0,10,15,295,255,13,14,10,15,12,14,2,1
4921,51,43,Virginia,Clarke County,2015,14239,7084,7155,6498,6504,321,349,23,37,78,98,5,3,159,164,6636,6654,409,442,81,91,110,131,11,11,6727,6854,6187,6253,311,335,16,26,66,88,3,3,144,149,6312,6390,390,419,69,71,96,120,8,10,357,301,311,251,10,14,7,11,12,10,2,0,15,15,324,264,19,23,12,20,14,11,3,1
4940,51,43,Virginia,Clarke County,2016,14294,7092,7202,6464,6515,332,372,29,35,85,108,6,3,176,169,6614,6666,435,465,83,89,129,146,14,9,6694,6865,6120,6231,321,357,18,27,72,92,3,3,160,155,6255,6372,414,441,68,75,113,126,11,9,398,337,344,284,11,15,11,8,13,16,3,0,16,14,359,294,21,24,15,14,16,20,3,0
4959,51,43,Virginia,Clarke County,2017,14454,7182,7272,6541,6580,320,366,47,39,90,113,6,4,178,170,6694,6733,412,462,110,98,137,151,18,9,6741,6902,6167,6268,308,350,21,28,76,98,3,4,166,154,6311,6405,393,436,79,80,121,135,13,9,441,370,374,312,12,16,26,11,14,15,3,0,12,16,383,328,19,26,31,18,16,16,5,0
4978,51,43,Virginia,Clarke County,2018,14511,7225,7286,6557,6597,328,359,55,45,92,113,6,5,187,167,6731,6752,420,453,115,95,139,153,16,10,6739,6891,6151,6263,311,342,26,34,78,97,3,5,170,150,6309,6403,391,427,83,74,123,135,12,9,486,395,406,334,17,17,29,11,14,16,3,0,17,17,422,349,29,26,32,21,16,18,4,1
4997,51,43,Virginia,Clarke County,2019,14619,7240,7379,6571,6680,323,358,60,45,94,116,6,5,186,175,6732,6842,426,451,119,106,146,153,15,12,6731,6956,6150,6318,304,340,27,34,79,102,3,5,168,157,6296,6463,398,424,76,87,128,135,12,12,509,423,421,362,19,18,33,11,15,14,3,0,18,18,436,379,28,27,43,19,18,18,3,0
5054,51,45,Virginia,Craig County,2010,5198,2568,2630,2538,2599,3,2,6,6,1,7,0,0,20,16,2558,2614,14,11,12,13,4,8,1,1,2555,2603,2531,2578,3,2,2,4,1,7,0,0,18,12,2549,2589,13,8,7,10,4,8,1,1,13,27,7,21,0,0,4,2,0,0,0,0,2,4,9,25,1,3,5,3,0,0,0,0
5073,51,45,Virginia,Craig County,2011,5169,2560,2609,2530,2577,3,2,6,6,1,7,0,0,20,17,2548,2591,15,12,16,13,3,9,0,2,2544,2580,2520,2554,3,2,2,4,1,7,0,0,18,13,2536,2564,14,10,11,9,3,8,0,2,16,29,10,23,0,0,4,2,0,0,0,0,2,4,12,27,1,2,5,4,0,1,0,0
5092,51,45,Virginia,Craig County,2012,5138,2549,2589,2512,2550,8,5,8,8,1,6,0,0,20,20,2530,2569,21,15,14,14,4,11,0,2,2528,2558,2498,2526,7,4,4,6,1,6,0,0,18,16,2514,2541,19,11,9,10,4,11,0,2,21,31,14,24,1,1,4,2,0,0,0,0,2,4,16,28,2,4,5,4,0,0,0,0
5111,51,45,Virginia,Craig County,2013,5138,2535,2603,2497,2564,8,3,8,8,1,6,0,0,21,22,2517,2583,15,13,16,18,8,11,0,0,2509,2571,2478,2538,7,3,4,6,1,6,0,0,19,18,2496,2553,14,11,10,14,8,11,0,0,26,32,19,26,1,0,4,2,0,0,0,0,2,4,21,30,1,2,6,4,0,0,0,0
5130,51,45,Virginia,Craig County,2014,5176,2560,2616,2521,2571,8,5,8,10,2,6,0,0,21,24,2540,2591,16,21,13,20,11,9,1,1,2529,2586,2497,2548,7,5,4,7,2,6,0,0,19,20,2514,2564,15,19,7,15,11,8,1,1,31,30,24,23,1,0,4,3,0,0,0,0,2,4,26,27,1,2,6,5,0,1,0,0
5149,51,45,Virginia,Craig County,2015,5136,2560,2576,2521,2535,8,5,8,10,2,6,0,0,21,20,2539,2553,18,11,15,19,7,12,2,1,2529,2546,2496,2511,7,5,4,7,2,6,0,0,20,17,2513,2526,17,11,10,13,7,12,2,1,31,30,25,24,1,0,4,3,0,0,0,0,1,3,26,27,1,0,5,6,0,0,0,0
5168,51,45,Virginia,Craig County,2016,5120,2551,2569,2507,2528,10,7,9,10,2,6,0,0,23,18,2525,2544,22,16,19,18,8,9,0,1,2512,2536,2476,2501,8,7,5,7,2,6,0,0,21,15,2492,2515,19,15,14,13,8,9,0,0,39,33,31,27,2,0,4,3,0,0,0,0,2,3,33,29,3,1,5,5,0,0,0,1
5187,51,45,Virginia,Craig County,2017,5062,2507,2555,2460,2511,12,8,10,10,3,6,0,0,22,20,2478,2528,21,18,19,20,10,9,1,1,2466,2519,2427,2483,9,7,6,7,3,6,0,0,21,16,2444,2497,18,14,14,15,10,9,1,1,41,36,33,28,3,1,4,3,0,0,0,0,1,4,34,31,3,4,5,5,0,0,0,0
5206,51,45,Virginia,Craig County,2018,5102,2535,2567,2484,2524,15,7,10,11,2,6,0,0,24,19,2508,2542,26,16,16,16,6,11,3,1,2494,2532,2451,2497,12,6,6,8,2,6,0,0,23,15,2474,2511,23,12,12,12,5,11,3,1,41,35,33,27,3,1,4,3,0,0,0,0,1,4,34,31,3,4,4,4,1,0,0,0
5225,51,45,Virginia,Craig County,2019,5131,2555,2576,2503,2529,16,7,10,11,2,6,0,0,24,23,2523,2550,31,19,18,20,6,11,2,0,2511,2539,2468,2500,12,6,6,8,2,6,0,0,23,19,2488,2517,26,16,13,15,6,11,2,0,44,37,35,29,4,1,4,3,0,0,0,0,1,4,35,33,5,3,5,5,0,0,0,0
5282,51,47,Virginia,Culpeper County,2010,46838,23743,23095,18583,18486,4052,3505,159,145,321,366,37,30,591,563,19124,19003,4432,3882,293,272,451,477,66,50,21465,21219,16728,16974,3895,3346,63,68,265,344,8,4,506,483,17197,17420,4221,3669,155,165,383,448,33,21,2278,1876,1855,1512,157,159,96,77,56,22,29,26,85,80,1927,1583,211,213,138,107,68,29,33,29
5301,51,47,Virginia,Culpeper County,2011,47345,23922,23423,18677,18775,4087,3497,175,149,317,365,34,29,632,608,19266,19331,4479,3893,312,286,461,489,60,60,21728,21557,16915,17261,3931,3353,66,71,263,342,9,6,544,524,17424,17743,4274,3696,164,178,394,454,32,32,2194,1866,1762,1514,156,144,109,78,54,23,25,23,88,84,1842,1588,205,197,148,108,67,35,28,28
5320,51,47,Virginia,Culpeper County,2012,47844,24093,23751,18855,19038,4054,3532,168,158,335,368,35,31,646,624,19443,19602,4473,3957,307,295,482,498,64,53,21853,21781,17057,17432,3889,3388,61,70,280,345,9,6,557,540,17564,17921,4256,3760,162,171,417,467,33,25,2240,1970,1798,1606,165,144,107,88,55,23,26,25,89,84,1879,1681,217,197,145,124,65,31,31,28
5339,51,47,Virginia,Culpeper County,2013,48606,24446,24160,19134,19313,4076,3590,165,159,358,388,33,31,680,679,19759,19942,4516,4030,292,320,521,530,63,56,22124,22132,17252,17659,3918,3447,60,69,294,365,9,7,591,585,17801,18204,4299,3835,159,194,443,492,31,26,2322,2028,1882,1654,158,143,105,90,64,23,24,24,89,94,1958,1738,217,195,133,126,78,38,32,30
5358,51,47,Virginia,Culpeper County,2014,49237,24681,24556,19360,19674,4054,3608,173,155,367,388,33,31,694,700,20001,20317,4515,4077,303,290,518,541,59,60,22247,22443,17369,17933,3895,3456,64,73,301,366,8,7,610,608,17935,18493,4297,3863,164,182,448,506,32,29,2434,2113,1991,1741,159,152,109,82,66,22,25,24,84,92,2066,1824,218,214,139,108,70,35,27,31
5377,51,47,Virginia,Culpeper County,2015,49551,24772,24779,19469,19922,3991,3554,188,168,388,396,32,30,704,709,20111,20574,4446,4033,342,322,545,528,53,60,22246,22544,17409,18089,3823,3398,75,78,318,369,7,6,614,604,17972,18648,4224,3812,190,196,462,492,26,28,2526,2235,2060,1833,168,156,113,90,70,27,25,24,90,105,2139,1926,222,221,152,126,83,36,27,32
5396,51,47,Virginia,Culpeper County,2016,50319,25107,25212,19774,20304,3973,3579,188,172,408,400,34,32,730,725,20444,20970,4460,4055,335,333,570,550,60,59,22407,22767,17553,18269,3796,3419,77,80,344,373,9,6,628,620,18133,18844,4216,3827,191,204,493,508,30,27,2700,2445,2221,2035,177,160,111,92,64,27,25,26,102,105,2311,2126,244,228,144,129,77,42,30,32
5415,51,47,Virginia,Culpeper County,2017,51235,25616,25619,20123,20641,4030,3581,210,175,435,410,34,37,784,775,20848,21363,4543,4101,371,341,617,575,65,55,22685,22986,17698,18438,3843,3409,87,81,372,381,8,7,677,670,18330,19066,4289,3858,208,205,538,535,32,24,2931,2633,2425,2203,187,172,123,94,63,29,26,30,107,105,2518,2297,254,243,163,136,79,40,33,31
5434,51,47,Virginia,Culpeper County,2018,51795,25894,25901,20299,20847,4063,3597,212,187,445,425,37,43,838,802,21066,21596,4613,4110,372,350,639,601,71,80,22864,23116,17795,18528,3878,3418,81,84,385,398,8,8,717,680,18458,19168,4346,3857,201,202,561,559,36,35,3030,2785,2504,2319,185,179,131,103,60,27,29,35,121,122,2608,2428,267,253,171,148,78,42,35,45
5453,51,47,Virginia,Culpeper County,2019,52605,26266,26339,20618,21171,4048,3624,217,196,452,440,41,46,890,862,21442,21965,4638,4207,373,361,673,621,77,80,23092,23415,17975,18726,3868,3447,81,85,396,411,9,8,763,738,18683,19416,4380,3941,194,210,595,578,40,32,3174,2924,2643,2445,180,177,136,111,56,29,32,38,127,124,2759,2549,258,266,179,151,78,43,37,48
5510,51,49,Virginia,Cumberland County,2010,10028,4855,5173,3219,3254,1515,1786,21,19,17,20,0,0,83,94,3296,3338,1566,1846,52,55,28,30,2,5,4760,5088,3146,3198,1501,1763,19,17,17,20,0,0,77,90,3219,3279,1549,1820,46,50,26,30,1,5,95,85,73,56,14,23,2,2,0,0,0,0,6,4,77,59,17,26,6,5,2,0,1,0
5529,51,49,Virginia,Cumberland County,2011,9985,4829,5156,3197,3264,1500,1755,26,18,20,22,0,2,86,95,3276,3344,1552,1808,52,55,33,39,4,8,4724,5061,3118,3200,1486,1732,20,16,20,22,0,0,80,91,3191,3276,1536,1784,44,49,31,39,4,6,105,95,79,64,14,23,6,2,0,0,0,2,6,4,85,68,16,24,8,6,2,0,0,2
5548,51,49,Virginia,Cumberland County,2012,9841,4752,5089,3138,3213,1476,1726,25,20,22,23,0,2,91,105,3216,3310,1532,1794,53,49,41,44,5,5,4635,4992,3050,3148,1462,1703,19,18,22,23,0,0,82,100,3121,3240,1513,1769,44,44,40,43,2,3,117,97,88,65,14,23,6,2,0,0,0,2,9,5,95,70,19,25,9,5,1,1,3,2
5567,51,49,Virginia,Cumberland County,2013,9848,4768,5080,3162,3222,1458,1702,28,20,22,22,0,2,98,112,3248,3322,1520,1773,62,64,40,36,2,6,4644,4972,3071,3146,1442,1683,20,16,22,22,0,0,89,105,3150,3240,1496,1751,51,58,37,34,2,3,124,108,91,76,16,19,8,4,0,0,0,2,9,7,98,82,24,22,11,6,3,2,0,3
5586,51,49,Virginia,Cumberland County,2014,9839,4703,5136,3125,3269,1437,1711,29,19,15,24,0,2,97,111,3216,3369,1494,1783,57,52,34,41,3,4,4573,5023,3028,3189,1421,1691,21,15,15,24,0,0,88,104,3110,3283,1473,1760,47,45,33,39,2,2,130,113,97,80,16,20,8,4,0,0,0,2,9,7,106,86,21,23,10,7,1,2,1,2
5605,51,49,Virginia,Cumberland County,2015,9756,4698,5058,3136,3230,1414,1666,27,19,14,23,0,2,107,118,3228,3341,1482,1742,57,59,32,38,6,4,4568,4937,3034,3142,1401,1645,19,15,14,23,0,0,100,112,3121,3247,1464,1716,47,53,30,38,6,2,130,121,102,88,13,21,8,4,0,0,0,2,7,6,107,94,18,26,10,6,2,0,0,2
5624,51,49,Virginia,Cumberland County,2016,9745,4682,5063,3109,3224,1418,1668,29,21,13,23,0,2,113,125,3209,3339,1488,1744,63,60,36,43,4,7,4542,4950,3002,3145,1404,1649,19,16,13,23,0,0,104,117,3095,3252,1471,1722,49,53,33,41,3,4,140,113,107,79,14,19,10,5,0,0,0,2,9,8,114,87,17,22,14,7,3,2,1,3
5643,51,49,Virginia,Cumberland County,2017,9828,4759,5069,3176,3242,1420,1656,30,23,14,24,0,2,119,122,3286,3351,1483,1727,67,62,40,46,5,9,4600,4953,3057,3161,1402,1636,20,18,14,24,0,0,107,114,3155,3263,1457,1702,54,53,37,46,5,7,159,116,119,81,18,20,10,5,0,0,0,2,12,8,131,88,26,25,13,9,3,0,0,2
5662,51,49,Virginia,Cumberland County,2018,9857,4762,5095,3184,3299,1414,1618,41,26,15,26,0,2,108,124,3280,3415,1482,1686,73,62,33,50,5,8,4588,4971,3056,3212,1396,1599,25,19,15,26,0,0,96,115,3143,3320,1455,1665,54,50,29,48,5,5,174,124,128,87,18,19,16,7,0,0,0,2,12,9,137,95,27,21,19,12,4,2,0,3
5681,51,49,Virginia,Cumberland County,2019,9932,4805,5127,3215,3325,1408,1621,46,29,17,29,0,2,119,121,3322,3434,1487,1699,76,71,38,42,5,7,4623,4989,3080,3227,1388,1601,27,20,17,29,0,0,111,112,3179,3329,1463,1673,53,59,37,41,5,4,182,138,135,98,20,20,19,9,0,0,0,2,8,9,143,105,24,26,23,12,1,1,0,3
5738,51,51,Virginia,Dickenson County,2010,15847,7922,7925,7839,7836,24,29,17,12,7,14,0,0,35,34,7872,7867,42,49,33,26,11,17,1,2,7882,7877,7805,7793,24,29,13,10,6,14,0,0,34,31,7837,7821,41,48,29,23,10,16,1,2,40,48,34,43,0,0,4,2,1,0,0,0,1,3,35,46,1,1,4,3,1,1,0,0
5757,51,51,Virginia,Dickenson County,2011,15779,7921,7858,7832,7763,26,31,18,15,8,15,0,0,37,34,7867,7790,44,46,31,33,16,20,2,5,7870,7804,7787,7714,26,31,14,13,7,15,0,0,36,31,7822,7739,43,44,26,31,15,19,2,4,51,54,45,49,0,0,4,2,1,0,0,0,1,3,45,51,1,2,5,2,1,1,0,1
5776,51,51,Virginia,Dickenson County,2012,15707,7950,7757,7856,7660,27,33,18,15,8,15,0,0,41,34,7892,7689,48,50,35,27,17,26,2,1,7895,7703,7807,7612,27,32,14,13,7,15,0,0,40,31,7842,7638,47,48,31,24,16,25,2,1,55,54,49,48,0,1,4,2,1,0,0,0,1,3,50,51,1,2,4,3,1,1,0,0
5795,51,51,Virginia,Dickenson County,2013,15526,7853,7673,7757,7582,27,29,17,14,9,14,0,0,43,34,7796,7612,44,47,35,30,19,18,3,0,7799,7616,7709,7531,27,28,13,12,8,14,0,0,42,31,7747,7558,44,44,30,27,18,18,3,0,54,57,48,51,0,1,4,2,1,0,0,0,1,3,49,54,0,3,5,3,1,0,0,0
5814,51,51,Virginia,Dickenson County,2014,15344,7772,7572,7664,7480,33,30,19,13,10,14,2,0,44,35,7706,7512,45,51,36,27,24,18,5,0,7710,7512,7610,7426,33,29,13,11,9,14,2,0,43,32,7651,7455,44,49,30,23,23,18,5,0,62,60,54,54,0,1,6,2,1,0,0,0,1,3,55,57,1,2,6,4,1,0,0,0
5833,51,51,Virginia,Dickenson County,2015,15201,7665,7536,7541,7436,38,33,19,14,12,14,2,0,53,39,7589,7471,59,55,43,31,23,18,4,3,7601,7476,7487,7383,37,33,13,11,11,14,2,0,51,35,7533,7415,57,55,36,24,22,18,4,2,64,60,54,53,1,0,6,3,1,0,0,0,2,4,56,56,2,0,7,7,1,0,0,1
5852,51,51,Virginia,Dickenson County,2016,15014,7599,7415,7472,7304,35,32,20,15,14,15,2,0,56,49,7523,7350,58,54,44,40,29,21,3,1,7534,7353,7416,7249,35,32,14,12,13,15,2,0,54,45,7465,7291,56,52,38,34,28,21,3,1,65,62,56,55,0,0,6,3,1,0,0,0,2,4,58,59,2,2,6,6,1,0,0,0
5871,51,51,Virginia,Dickenson County,2017,14722,7440,7282,7314,7166,34,34,20,15,14,16,2,0,56,51,7364,7214,56,53,41,36,32,29,6,2,7374,7216,7257,7110,34,31,14,12,13,16,2,0,54,47,7305,7154,55,49,35,31,30,29,6,1,66,66,57,56,0,3,6,3,1,0,0,0,2,4,59,60,1,4,6,5,2,0,0,1
5890,51,51,Virginia,Dickenson County,2018,14526,7364,7162,7238,7042,33,34,21,15,14,17,2,0,56,54,7292,7091,57,53,44,40,26,31,4,1,7297,7091,7180,6983,33,31,15,10,13,17,2,0,54,50,7232,7030,55,47,38,34,25,30,4,0,67,71,58,59,0,3,6,5,1,0,0,0,2,4,60,61,2,6,6,6,1,1,0,1
5909,51,51,Virginia,Dickenson County,2019,14318,7292,7026,7164,6899,38,38,21,15,14,18,0,0,55,56,7211,6952,62,61,43,45,29,29,3,2,7213,6954,7096,6842,36,32,15,10,13,18,0,0,53,52,7141,6891,60,53,35,37,28,29,3,2,79,72,68,57,2,6,6,5,1,0,0,0,2,4,70,61,2,8,8,8,1,0,0,0
5966,51,53,Virginia,Dinwiddie County,2010,28063,13766,14297,9098,9070,4389,4906,52,49,38,87,5,5,184,180,9264,9221,4498,5018,105,109,78,123,16,16,13413,13967,8837,8839,4329,4829,36,41,38,87,5,4,168,167,8991,8978,4432,4933,81,98,72,122,15,13,353,330,261,231,60,77,16,8,0,0,0,1,16,13,273,243,66,85,24,11,6,1,1,3
5985,51,53,Virginia,Dinwiddie County,2011,28119,13819,14300,9139,9039,4390,4916,54,55,43,91,10,6,183,193,9305,9204,4495,5032,106,127,84,129,17,16,13447,13964,8868,8811,4324,4835,36,46,42,90,10,5,167,177,9020,8961,4423,4937,79,112,79,127,17,15,372,336,271,228,66,81,18,9,1,1,0,1,16,16,285,243,72,95,27,15,5,2,0,1
6004,51,53,Virginia,Dinwiddie County,2012,28223,13880,14343,9160,9105,4412,4866,53,50,47,96,11,6,197,220,9334,9288,4528,5009,105,114,90,147,29,19,13465,13976,8850,8852,4343,4781,35,41,46,96,11,5,180,201,9009,9018,4452,4912,80,100,87,141,25,18,415,367,310,253,69,85,18,9,1,0,0,1,17,19,325,270,76,97,25,14,3,6,4,1
6023,51,53,Virginia,Dinwiddie County,2013,28084,13752,14332,9106,9107,4332,4843,59,55,51,107,7,5,197,215,9286,9291,4447,4968,117,126,94,150,17,19,13337,13954,8806,8838,4261,4768,37,45,48,106,7,4,178,193,8970,9001,4364,4880,88,111,87,144,16,18,415,378,300,269,71,75,22,10,3,1,0,1,19,22,316,290,83,88,29,15,7,6,1,1
6042,51,53,Virginia,Dinwiddie County,2014,28094,13721,14373,9026,9121,4377,4843,64,58,48,124,7,7,199,220,9201,9307,4503,4984,123,124,86,164,18,27,13300,13964,8719,8826,4303,4766,43,48,47,123,7,5,181,196,8880,8990,4415,4892,95,106,85,161,17,22,421,409,307,295,74,77,21,10,1,1,0,2,18,24,321,317,88,92,28,18,1,3,1,5
6061,51,53,Virginia,Dinwiddie County,2015,28148,13702,14446,9006,9132,4361,4875,67,60,61,139,7,7,200,233,9176,9341,4491,5024,118,136,109,175,13,22,13266,14008,8698,8818,4281,4797,45,46,60,139,7,5,175,203,8850,9000,4396,4924,85,112,103,174,12,18,436,438,308,314,80,78,22,14,1,0,0,2,25,30,326,341,95,100,33,24,6,1,1,4
6080,51,53,Virginia,Dinwiddie County,2016,28468,13886,14582,9103,9146,4433,4970,72,61,69,152,7,7,202,246,9273,9358,4563,5113,132,150,114,202,14,22,13403,14117,8761,8805,4348,4895,44,47,68,152,7,5,175,213,8907,8991,4461,5018,95,120,110,198,13,19,483,465,342,341,85,75,28,14,1,0,0,2,27,33,366,367,102,95,37,30,4,4,1,3
6099,51,53,Virginia,Dinwiddie County,2017,28630,13999,14631,9246,9246,4384,4906,72,60,73,160,7,6,217,253,9442,9465,4511,5055,135,151,118,212,23,22,13496,14150,8885,8906,4302,4819,44,44,71,155,7,5,187,221,9054,9095,4414,4950,94,121,110,204,21,20,503,481,361,340,82,87,28,16,2,5,0,1,30,32,388,370,97,105,41,30,8,8,2,2
