,County,Percent_Overall,Disparity_White_Male,Disparity_White_Female,Disparity_Black_Male,Disparity_Black_Female,Disparity_Hispanic_Male,Disparity_Hispanic_Female,Disparity_Asian_Pac_Male,Disparity_Asian_Pac_Female,year
157,Cumberland County,0.215,0.07400000000000001,-0.091,0.138,-0.095,-0.215,-0.215,-0.215,-0.215,2016
158,Dickenson County,0.386,-0.051,-0.235,48.185,12.114,-0.386,-0.386,-0.386,6.2810000000000015,2016
159,Dinwiddie County,0.077,0.055,-0.033,0.036000000000000004,-0.057,-0.077,-0.077,-0.077,-0.077,2016
160,Essex County,0.226,0.14,-0.106,0.138,-0.138,-0.226,-0.226,-0.226,0.964,2016
161,Fairfax County,0.014,0.001,-0.002,0.08199999999999999,-0.004,-0.014,-0.014,-0.014,-0.014,2016
162,Fauquier County,0.118,-0.006999999999999999,-0.039,0.616,-0.006,-0.118,-0.118,-0.118,-0.118,2016
163,Floyd County,0.287,-0.05,-0.139,8.463,1.02,-0.287,-0.287,-0.287,-0.287,2016
164,Fluvanna County,0.202,0.009000000000000001,-0.08,0.476,0.018000000000000002,-0.202,-0.202,-0.202,0.507,2016
165,Franklin County,0.312,0.032,-0.16699999999999998,1.419,0.175,-0.06,-0.312,0.423,-0.312,2016
166,Frederick County,0.23,0.015,-0.102,1.908,0.194,-0.23,-0.23,-0.23,-0.23,2016
167,Giles County,0.392,0.098,-0.199,6.6389999999999985,1.261,-0.392,-0.392,-0.392,-0.392,2016
168,Gloucester County,0.248,0.031,-0.09,0.626,0.21600000000000005,-0.087,-0.248,-0.248,-0.248,2016
169,Goochland County,0.08900000000000001,0.036000000000000004,-0.056,0.017,0.128,-0.08900000000000001,-0.08900000000000001,-0.08900000000000001,-0.08900000000000001,2016
170,Grayson County,0.17,-0.006999999999999999,-0.156,1.41,1.409,-0.17,-0.17,-0.17,-0.17,2016
171,Greene County,0.243,0.02,-0.083,1.09,-0.083,-0.243,-0.243,-0.243,-0.243,2016
172,Greensville County,0.391,0.311,0.445,-0.119,-0.391,-0.391,-0.391,-0.391,-0.391,2016
173,Halifax County,0.383,0.109,-0.12,0.403,-0.309,-0.383,-0.383,-0.383,-0.383,2016
