,County,Percent_Overall,Disparity_White_Male,Disparity_White_Female,Disparity_Black_Male,Disparity_Black_Female,Disparity_Hispanic_Male,Disparity_Hispanic_Female,Disparity_Asian_Pac_Male,Disparity_Asian_Pac_Female,year
483,Spotsylvania County,0.126,-0.035,-0.083,0.6559999999999999,0.016,-0.084,-0.126,-0.126,-0.126,2010
484,Stafford County,0.14400000000000002,0.002,-0.092,0.476,-0.012,-0.127,-0.14400000000000002,-0.022,-0.102,2010
485,Surry County,0.227,-0.012,-0.115,0.363,-0.16899999999999998,-0.227,-0.227,-0.227,-0.227,2010
486,Sussex County,0.142,0.193,-0.048,-0.024,-0.106,-0.142,-0.142,-0.142,-0.142,2010
487,Tazewell County,0.523,-0.091,-0.377,8.519,2.745,4.579,0.386,0.18600000000000005,-0.523,2010
488,Warren County,0.109,-0.033,-0.051,1.5759999999999998,0.243,-0.109,-0.109,-0.109,-0.109,2010
489,Washington County,0.129,0.004,-0.07400000000000001,4.027,1.133,-0.129,-0.129,0.7879999999999999,-0.129,2010
490,Westmoreland County,0.14300000000000002,-0.006999999999999999,-0.11,0.455,-0.104,-0.14300000000000002,-0.14300000000000002,-0.14300000000000002,-0.14300000000000002,2010
491,Wise County,0.303,-0.091,-0.262,3.529,0.991,-0.303,-0.303,-0.303,-0.303,2010
492,Wythe County,0.219,-0.058,-0.177,6.448,1.723,-0.219,-0.219,-0.219,-0.219,2010
493,York County,0.043,-0.027000000000000003,-0.035,0.456,-0.021,-0.043,-0.043,-0.043,-0.043,2010
494,Alexandria city,0.015,0.002,0.001,0.019,-0.015,-0.015,-0.015,-0.015,-0.015,2010
495,Bristol city,0.287,0.042,-0.125,1.7919999999999998,-0.287,-0.287,-0.287,-0.287,-0.287,2010
496,Buena Vista city,0.333,-0.012,-0.14800000000000002,2.541,0.238,2.048,-0.333,-0.333,-0.333,2010
497,Charlottesville city,0.094,0.034,-0.075,0.285,-0.028,-0.094,-0.094,-0.018000000000000002,-0.094,2010
498,Chesapeake city,0.127,-0.002,-0.095,0.34700000000000003,-0.07400000000000001,-0.108,-0.127,-0.094,-0.127,2010
499,Colonial Heights city,0.317,-0.051,-0.187,2.897,-0.218,-0.317,-0.317,-0.317,-0.317,2010
500,Covington city,,,,,,,,,,2010
501,Danville city,0.308,-0.053,-0.228,0.622,-0.239,0.279,-0.308,-0.308,-0.308,2010
502,Emporia city,,,,,,,,,,2010
503,Fairfax city,,,,,,,,,,2010
504,Falls Church city,0.024,0.016,-0.024,0.331,-0.024,-0.024,-0.024,-0.024,-0.024,2010
505,Franklin city,0.5710000000000001,0.8,-0.241,0.376,-0.535,-0.5710000000000001,-0.5710000000000001,-0.5710000000000001,-0.5710000000000001,2010
506,Fredericksburg city,0.246,-0.039,-0.202,1.033,-0.053,-0.172,-0.246,-0.246,-0.246,2010
507,Galax city,0.3720000000000001,-0.103,-0.28300000000000003,5.083,0.916,-0.3720000000000001,-0.3720000000000001,-0.3720000000000001,-0.3720000000000001,2010
508,Hampton city,0.115,0.075,-0.038,0.07,-0.083,0.109,-0.115,-0.115,-0.115,2010
509,Harrisonburg city,0.094,-0.027000000000000003,-0.054000000000000006,1.039,0.14,-0.094,-0.094,-0.094,-0.094,2010
510,Hopewell city,0.38,0.268,-0.22,0.448,-0.338,-0.256,-0.38,-0.38,-0.38,2010
511,Lexington city,,,,,,,,,,2010
512,Lynchburg city,0.16,0.02,-0.099,0.35700000000000004,-0.076,-0.16,-0.16,-0.16,-0.16,2010
513,Manassas city,0.102,0.035,-0.046,0.233,-0.067,-0.102,-0.102,-0.102,-0.102,2010
514,Manassas Park city,,,,,,,,,,2010
515,Martinsville city,,,,,,,,,,2010
516,Newport News city,0.16699999999999998,0.064,-0.08,0.22,-0.127,-0.139,-0.152,-0.126,-0.16699999999999998,2010
517,Norfolk city,0.123,0.029,-0.053,0.163,-0.094,-0.123,-0.123,-0.123,-0.123,2010
518,Norton city,0.598,-0.175,-0.495,9.971,0.841,-0.598,-0.598,-0.598,-0.598,2010
519,Petersburg city,0.615,2.043,0.496,0.07400000000000001,-0.5429999999999999,-0.615,-0.615,-0.615,-0.615,2010
520,Poquoson city,0.058,-0.006,-0.058,9.466,-0.058,-0.058,-0.058,-0.058,-0.058,2010
521,Portsmouth city,0.333,0.014,-0.214,0.418,-0.205,-0.14800000000000002,-0.333,-0.168,-0.333,2010
522,Radford city,0.195,-0.077,-0.129,2.337,0.1,0.35100000000000003,-0.195,-0.195,-0.195,2010
523,Richmond city,0.203,0.166,-0.04,0.122,-0.173,-0.175,-0.203,-0.049,-0.203,2010
524,Roanoke city,0.239,0.127,-0.113,0.249,-0.185,-0.173,-0.239,-0.127,-0.239,2010
525,Salem city,0.241,0.101,-0.122,0.8079999999999999,-0.241,0.07400000000000001,-0.241,-0.241,-0.241,2010
526,Staunton city,0.219,-0.076,-0.13699999999999998,1.51,0.227,-0.219,-0.219,-0.219,-0.219,2010
527,Suffolk city,0.219,-0.124,-0.17,0.562,-0.112,-0.219,-0.219,-0.219,-0.219,2010
528,Virginia Beach city,0.057,-0.021,-0.042,0.301,-0.018000000000000002,-0.036000000000000004,-0.057,-0.057,-0.057,2010
529,Waynesboro city,0.195,0.005,-0.098,0.831,0.049,-0.065,-0.195,-0.195,-0.195,2010
530,Williamsburg city,0.015,0.005,-0.015,0.093,-0.015,-0.015,-0.015,-0.015,-0.015,2010
531,Winchester city,0.459,0.223,-0.268,0.723,0.149,-0.459,-0.459,-0.459,-0.459,2010
532,Accomack County,0.11,0.0,-0.075,0.228,-0.006999999999999999,-0.11,-0.11,-0.11,-0.11,2018
533,Albemarle County,0.091,-0.004,-0.05,0.61,0.036000000000000004,-0.091,-0.091,-0.091,-0.091,2018
534,Alleghany County,0.747,-0.229,-0.537,12.889,2.048,-0.747,-0.747,-0.747,-0.747,2018
535,Amelia County,0.17600000000000002,-0.056,-0.096,0.7859999999999999,-0.17600000000000002,-0.17600000000000002,-0.17600000000000002,3.67,-0.17600000000000002,2018
536,Amherst County,0.395,-0.023,-0.26,1.294,0.036000000000000004,-0.395,-0.395,-0.395,-0.395,2018
537,Appomattox County,0.384,-0.022,-0.258,1.7380000000000002,-0.321,-0.384,-0.384,-0.384,-0.384,2018
538,Arlington County,0.048,-0.011,-0.031,0.435,0.03,-0.043,-0.048,-0.048,-0.048,2018
539,Augusta County,0.173,-0.033,-0.128,2.254,0.58,-0.173,-0.173,-0.173,-0.173,2018
540,Bath County,0.259,-0.058,-0.107,3.131,-0.259,-0.259,-0.259,-0.259,-0.259,2018
541,Bedford County,0.19,-0.026,-0.126,1.926,0.127,-0.19,-0.19,0.044,-0.19,2018
542,Bland County,0.254,-0.066,-0.181,2.776,1.968,-0.254,-0.254,-0.254,-0.254,2018
543,Botetourt County,0.213,-0.059,-0.093,3.2960000000000003,1.374,-0.213,-0.213,-0.213,-0.213,2018
544,Brunswick County,0.361,0.32,-0.065,0.02,-0.237,0.07400000000000001,-0.361,-0.361,-0.361,2018
545,Buchanan County,0.632,-0.108,-0.409,9.154,0.994,-0.632,-0.632,1.807,-0.632,2018
546,Buckingham County,0.194,0.031,-0.054000000000000006,0.16,-0.152,-0.194,-0.194,-0.194,-0.194,2018
547,Campbell County,0.201,-0.036000000000000004,-0.102,1.012,-0.152,-0.076,-0.201,-0.201,-0.201,2018
548,Caroline County,0.215,-0.01,-0.091,0.426,-0.191,0.033,-0.215,-0.215,0.317,2018
549,Carroll County,0.319,-0.068,-0.14800000000000002,21.995,5.5139999999999985,-0.319,-0.319,-0.319,-0.319,2018
550,Charles City County,0.171,0.152,-0.171,0.227,-0.112,-0.171,-0.171,-0.171,-0.171,2018
551,Charlotte County,0.385,0.023,-0.24,0.6729999999999999,-0.038,-0.385,-0.385,-0.385,-0.385,2018
552,Chesterfield County,0.129,0.014,-0.059,0.281,-0.059,-0.129,-0.129,-0.113,-0.129,2018
553,Clarke County,0.145,0.038,-0.084,1.075,0.134,-0.145,-0.145,-0.145,-0.145,2018
554,Craig County,0.118,-0.118,-0.039,19.882,14.168,-0.118,-0.118,-0.118,-0.118,2018
555,Culpeper County,0.22,0.046,-0.124,0.691,-0.16399999999999998,-0.22,-0.22,-0.22,-0.22,2018
556,Cumberland County,0.162,0.08900000000000001,0.02,-0.021,-0.162,-0.162,-0.162,-0.162,-0.162,2018
557,Dickenson County,0.358,0.015,-0.188,32.975,2.583,-0.358,-0.358,-0.358,5.524,2018
558,Dinwiddie County,0.14,0.108,-0.097,0.133,-0.14,-0.14,-0.14,-0.14,-0.14,2018
559,Essex County,0.266,0.173,-0.081,0.154,-0.221,0.156,-0.266,-0.266,-0.266,2018
560,Fairfax County,0.016,0.002,-0.002,0.081,-0.001,-0.016,-0.016,-0.015,-0.016,2018
561,Fauquier County,0.11,0.008,-0.026,0.326,0.034,-0.11,-0.11,-0.11,-0.11,2018
562,Floyd County,0.209,0.054000000000000006,-0.129,2.201,1.666,-0.209,-0.209,-0.209,-0.209,2018
563,Fluvanna County,0.108,-0.029,-0.048,0.726,-0.108,-0.108,-0.108,-0.108,-0.108,2018
564,Franklin County,0.274,-0.027000000000000003,-0.153,1.784,0.27,-0.035,-0.274,-0.274,-0.274,2018
565,Frederick County,0.21,0.004,-0.086,1.66,0.119,-0.18600000000000005,-0.21,-0.21,-0.21,2018
566,Giles County,0.393,-0.067,-0.077,5.761,2.046,-0.393,-0.393,-0.393,-0.393,2018
567,Gloucester County,0.193,-0.001,-0.043,0.468,-0.064,-0.193,-0.193,-0.193,-0.193,2018
568,Goochland County,0.103,0.04,-0.08199999999999999,0.374,-0.103,-0.103,-0.103,-0.103,-0.103,2018
569,Grayson County,0.192,-0.081,-0.054000000000000006,1.253,0.855,-0.192,-0.192,-0.192,-0.192,2018
570,Greene County,0.203,0.022,-0.079,0.633,0.096,-0.203,-0.203,-0.203,-0.203,2018
571,Greensville County,0.411,0.368,0.4270000000000001,-0.182,-0.37,-0.411,-0.411,-0.411,-0.411,2018
572,Halifax County,0.26,0.055,-0.037000000000000005,0.205,-0.17,-0.26,-0.26,-0.26,-0.26,2018
573,Hanover County,0.14800000000000002,-0.013,-0.071,0.8390000000000001,-0.012,-0.14800000000000002,-0.14800000000000002,0.079,-0.14800000000000002,2018
574,Henrico County,0.215,0.063,-0.078,0.377,-0.139,-0.205,-0.215,-0.181,-0.215,2018
575,Henry County,0.6659999999999999,-0.005,-0.331,1.638,-0.271,-0.532,-0.6659999999999999,-0.008,-0.6659999999999999,2018
576,Highland County,0.045,0.048,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,2018
577,Isle of Wight County,0.097,0.008,-0.045,0.246,-0.075,-0.097,-0.097,-0.097,-0.097,2018
578,James City County,0.201,0.005,-0.106,0.914,-0.08900000000000001,-0.201,-0.201,-0.201,-0.201,2018
579,King and Queen County,0.312,-0.109,-0.27,0.987,0.114,-0.312,-0.312,-0.312,-0.312,2018
580,King George County,0.338,-0.006,-0.191,1.344,-0.152,-0.338,-0.338,-0.338,-0.338,2018
581,King William County,0.165,-0.014,-0.062,0.331,0.112,-0.165,-0.165,0.971,-0.165,2018
582,Lancaster County,0.206,-0.033,0.026,0.21,-0.145,-0.206,-0.206,-0.206,-0.206,2018
583,Lee County,0.52,-0.067,-0.313,4.803,7.272,-0.52,-0.52,1.806,-0.52,2018
584,Loudoun County,0.037000000000000005,0.019,-0.011,0.16699999999999998,-0.025,-0.03,-0.037000000000000005,-0.037000000000000005,-0.037000000000000005,2018
585,Louisa County,0.25,-0.025,-0.13,0.913,-0.015,-0.25,-0.25,0.62,-0.25,2018
586,Lunenburg County,0.123,0.003,-0.015,0.136,-0.123,-0.123,-0.123,-0.123,-0.123,2018
587,Madison County,0.098,0.01,-0.065,0.378,0.25,-0.098,-0.098,-0.098,-0.098,2018
588,Mathews County,0.21600000000000005,0.103,-0.141,0.914,-0.21600000000000005,-0.21600000000000005,-0.21600000000000005,-0.21600000000000005,-0.21600000000000005,2018
589,Mecklenburg County,0.382,0.08900000000000001,-0.136,0.501,-0.327,-0.382,-0.382,0.327,-0.382,2018
590,Middlesex County,0.224,0.017,-0.08800000000000001,0.322,-0.111,-0.224,-0.224,-0.224,-0.224,2018
591,Montgomery County,0.149,-0.05,-0.07400000000000001,2.568,0.333,-0.149,-0.149,-0.121,-0.114,2018
592,Nelson County,0.363,-0.168,-0.131,2.447,0.07,-0.073,-0.363,-0.363,-0.363,2018
593,New Kent County,0.152,-0.075,-0.052000000000000005,0.8079999999999999,-0.008,-0.152,-0.152,-0.152,-0.152,2018
594,Northampton County,0.315,-0.011,-0.181,0.767,-0.226,-0.315,-0.315,-0.315,-0.315,2018
595,Northumberland County,0.37,-0.121,-0.234,1.186,0.008,-0.37,-0.37,-0.37,-0.37,2018
596,Nottoway County,0.279,0.045,0.028,0.066,-0.163,-0.279,-0.279,-0.279,-0.279,2018
597,Orange County,0.221,-0.03,-0.156,1.187,0.105,-0.221,-0.221,-0.221,-0.221,2018
598,Page County,0.5760000000000001,-0.17800000000000002,-0.353,21.88,0.8059999999999999,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,-0.5760000000000001,2018
599,Patrick County,0.464,0.058,-0.28300000000000003,4.145,-0.464,-0.464,-0.464,3.24,-0.464,2018
600,Pittsylvania County,0.187,0.018000000000000002,-0.114,0.441,-0.054000000000000006,-0.187,-0.187,0.527,-0.187,2018
601,Powhatan County,0.14400000000000002,-0.045,-0.104,1.017,0.14400000000000002,-0.14400000000000002,-0.14400000000000002,-0.14400000000000002,-0.14400000000000002,2018
602,Prince Edward County,0.393,0.015,-0.224,0.762,-0.264,-0.393,-0.393,-0.393,-0.393,2018
603,Prince George County,0.113,0.052000000000000005,-0.067,0.07200000000000001,-0.057,-0.059,-0.113,-0.113,-0.113,2018
604,Prince William County,0.105,0.055,-0.017,0.07200000000000001,-0.057,-0.103,-0.105,-0.091,-0.105,2018
605,Pulaski County,0.546,0.023,-0.211,3.341,-0.035,-0.244,-0.546,0.331,-0.546,2018
606,Rappahannock County,0.08199999999999999,0.039,-0.053,0.528,-0.08199999999999999,-0.08199999999999999,-0.08199999999999999,-0.08199999999999999,-0.08199999999999999,2018
607,Richmond County,0.435,0.17,-0.225,0.243,-0.32299999999999995,-0.196,-0.435,-0.435,-0.435,2018
608,Roanoke County,0.154,0.001,-0.07,1.051,0.084,-0.087,-0.08800000000000001,-0.154,-0.154,2018
609,Rockbridge County,0.33,-0.07400000000000001,-0.117,5.254,0.241,0.08800000000000001,-0.33,-0.33,-0.33,2018
610,Rockingham County,0.16399999999999998,-0.026,-0.069,3.148,0.6559999999999999,-0.16399999999999998,-0.16399999999999998,-0.16399999999999998,-0.16399999999999998,2018
611,Russell County,0.481,0.013,-0.227,13.805,4.782,-0.481,-0.481,-0.481,-0.481,2018
612,Scott County,0.457,0.013,-0.28600000000000003,21.864,8.918,-0.457,-0.457,-0.457,-0.457,2018
613,Shenandoah County,0.343,-0.012,-0.151,5.354,0.568,-0.343,-0.343,-0.343,-0.343,2018
614,Smyth County,0.44,-0.104,-0.185,10.166,1.423,-0.44,-0.44,-0.44,-0.44,2018
615,Southampton County,0.26,0.142,-0.071,0.115,-0.226,-0.26,-0.26,-0.26,-0.26,2018
616,Spotsylvania County,0.198,0.065,-0.057,0.273,-0.172,-0.184,-0.198,-0.198,-0.108,2018
617,Stafford County,0.258,0.083,-0.063,0.305,-0.203,-0.2,-0.258,-0.258,-0.227,2018
618,Surry County,0.155,0.175,-0.039,0.002,-0.155,-0.155,-0.155,-0.155,-0.155,2018
619,Sussex County,0.276,0.156,0.018000000000000002,0.026,-0.193,-0.276,-0.276,-0.276,-0.276,2018
620,Tazewell County,0.653,-0.027000000000000003,-0.257,6.029,0.836,-0.276,-0.653,-0.653,-0.653,2018
621,Warren County,0.31,0.011,-0.184,3.2060000000000004,0.326,-0.31,-0.31,-0.31,-0.31,2018
622,Washington County,0.375,0.022,-0.17600000000000002,7.542000000000002,2.141,-0.175,-0.375,0.377,-0.375,2018
623,Westmoreland County,0.387,0.063,-0.165,0.6859999999999999,-0.305,-0.25,-0.387,-0.387,-0.387,2018
624,Wise County,0.6709999999999999,-0.123,-0.397,4.71,2.196,-0.314,-0.6709999999999999,-0.6709999999999999,-0.6709999999999999,2018
625,Wythe County,0.456,-0.064,-0.248,9.497,1.524,-0.456,-0.456,-0.456,-0.456,2018
626,York County,0.076,-0.025,-0.045,0.507,0.006,-0.076,-0.076,-0.076,-0.076,2018
627,Alexandria city,0.036000000000000004,0.001,-0.01,0.078,-0.015,-0.036000000000000004,-0.036000000000000004,-0.036000000000000004,-0.036000000000000004,2018
628,Bristol city,0.491,0.101,-0.302,3.748,0.1,-0.491,-0.491,-0.491,-0.491,2018
629,Buena Vista city,0.8009999999999999,-0.132,-0.484,7.742000000000001,3.095,-0.8009999999999999,-0.8009999999999999,-0.8009999999999999,1.525,2018
630,Charlottesville city,0.194,0.056,-0.077,0.434,-0.109,-0.194,-0.194,-0.194,-0.194,2018
631,Chesapeake city,0.234,0.08800000000000001,-0.11,0.341,-0.17,-0.209,-0.234,-0.183,-0.192,2018
632,Colonial Heights city,0.44,0.117,-0.189,1.305,-0.376,-0.44,-0.44,-0.44,-0.44,2018
633,Covington city,,,,,,,,,,2018
634,Danville city,0.797,0.504,-0.284,0.696,-0.65,-0.603,-0.797,-0.797,-0.797,2018
635,Emporia city,,,,,,,,,,2018
636,Fairfax city,,,,,,,,,,2018
637,Falls Church city,,,,,,,,,,2018
638,Franklin city,0.754,0.617,0.644,-0.124,-0.565,-0.754,-0.754,-0.754,-0.754,2018
639,Fredericksburg city,0.425,0.158,-0.046,0.18,-0.244,-0.301,-0.359,-0.425,-0.242,2018
640,Galax city,1.26,0.131,-0.573,7.184,-0.33,-1.048,-1.26,-1.26,1.443,2018
641,Hampton city,0.32,0.384,0.024,0.027000000000000003,-0.263,-0.295,-0.295,-0.32,-0.32,2018
642,Harrisonburg city,0.224,0.062,-0.086,0.674,-0.047,-0.206,-0.224,-0.224,-0.224,2018
643,Hopewell city,0.5920000000000001,0.561,0.045,0.011,-0.517,-0.5920000000000001,-0.5920000000000001,0.093,-0.5920000000000001,2018
644,Lexington city,,,,,,,,,,2018
645,Lynchburg city,0.349,0.049,-0.184,0.6509999999999999,-0.139,-0.232,-0.349,-0.258,-0.349,2018
646,Manassas city,0.197,0.079,-0.056,0.259,-0.101,-0.197,-0.197,-0.197,-0.197,2018
647,Manassas Park city,,,,,,,,,,2018
648,Martinsville city,,,,,,,,,,2018
649,Newport News city,0.285,0.165,-0.057,0.238,-0.234,-0.261,-0.285,-0.285,-0.257,2018
650,Norfolk city,0.31,0.14400000000000002,-0.055,0.21600000000000005,-0.226,-0.301,-0.31,-0.208,-0.29,2018
651,Norton city,1.032,-0.056,-0.5660000000000001,14.206,-1.032,-1.032,-1.032,-1.032,-1.032,2018
652,Petersburg city,0.998,4.316,1.336,-0.195,-0.938,-0.998,-0.998,-0.483,-0.513,2018
653,Poquoson city,0.181,-0.058,-0.093,11.867,-0.181,-0.181,-0.181,-0.181,-0.181,2018
654,Portsmouth city,0.627,0.927,0.109,-0.121,-0.541,-0.541,-0.627,-0.112,-0.627,2018
655,Radford city,0.431,-0.008,-0.187,2.329,-0.002,0.026,-0.431,-0.431,-0.431,2018
656,Richmond city,0.236,0.111,-0.059,0.202,-0.179,-0.213,-0.236,-0.121,-0.236,2018
657,Roanoke city,0.362,0.1,-0.172,0.569,-0.206,-0.362,-0.328,-0.308,-0.362,2018
658,Salem city,0.395,-0.064,-0.197,3.684,-0.092,-0.395,-0.395,-0.395,-0.395,2018
659,Staunton city,0.7120000000000001,0.076,-0.334,2.814,-0.047,-0.219,-0.7120000000000001,-0.7120000000000001,-0.7120000000000001,2018
660,Suffolk city,0.332,0.179,-0.147,0.339,-0.264,-0.28600000000000003,-0.332,-0.332,-0.332,2018
661,Virginia Beach city,0.153,0.01,-0.069,0.443,-0.068,-0.14800000000000002,-0.14800000000000002,-0.127,-0.147,2018
662,Waynesboro city,0.537,-0.13699999999999998,-0.242,2.867,0.033,-0.537,-0.537,-0.537,-0.537,2018
663,Williamsburg city,0.006999999999999999,-0.006999999999999999,0.01,-0.006999999999999999,-0.006999999999999999,-0.006999999999999999,-0.006999999999999999,-0.006999999999999999,-0.006999999999999999,2018
664,Winchester city,0.393,0.041,-0.187,1.7080000000000002,-0.264,-0.393,-0.393,-0.142,-0.393,2018
665,Accomack County,0.11,-0.018000000000000002,-0.075,0.338,-0.09,-0.047,-0.11,-0.11,-0.11,2017
666,Albemarle County,0.08800000000000001,0.004,-0.055,0.635,-0.052000000000000005,-0.056,-0.08800000000000001,-0.015,-0.08800000000000001,2017
667,Alleghany County,0.489,-0.05,-0.406,7.977,0.7609999999999999,-0.489,-0.489,-0.489,-0.489,2017
668,Amelia County,0.146,-0.025,-0.126,0.5670000000000001,-0.009000000000000001,0.326,-0.146,-0.146,-0.146,2017
669,Amherst County,0.314,-0.027000000000000003,-0.212,1.198,-0.118,-0.068,-0.314,-0.314,-0.314,2017
670,Appomattox County,0.305,-0.07200000000000001,-0.17800000000000002,1.252,-0.05,-0.305,-0.305,-0.305,-0.305,2017
671,Arlington County,0.054000000000000006,-0.03,-0.039,0.643,0.051,-0.049,-0.054000000000000006,-0.037000000000000005,-0.054000000000000006,2017
672,Augusta County,0.136,-0.016,-0.09,1.539,0.153,-0.045,-0.136,0.757,-0.136,2017
673,Bath County,0.234,-0.134,-0.133,3.37,0.956,-0.234,-0.234,-0.234,-0.234,2017
674,Bedford County,0.185,0.011,-0.118,1.5530000000000002,-0.041,-0.185,-0.185,-0.185,-0.185,2017
675,Bland County,0.173,-0.049,0.006999999999999999,0.8220000000000001,-0.173,-0.173,-0.173,-0.173,-0.173,2017
676,Botetourt County,0.147,0.001,-0.09,2.551,-0.147,0.194,-0.147,-0.147,-0.147,2017
677,Brunswick County,0.404,0.487,0.17800000000000002,-0.166,-0.35600000000000004,-0.404,-0.404,-0.404,-0.404,2017
678,Buchanan County,0.398,0.022,-0.235,3.737,1.471,0.778,-0.398,-0.398,-0.398,2017
679,Buckingham County,0.223,-0.032,-0.062,0.275,-0.14,-0.223,-0.223,-0.223,-0.223,2017
680,Campbell County,0.125,-0.029,-0.057,0.612,-0.051,-0.125,-0.125,-0.125,-0.125,2017
681,Caroline County,0.28300000000000003,0.012,-0.157,0.546,-0.14,-0.15,-0.28300000000000003,0.388,0.298,2017
682,Carroll County,0.299,0.048,-0.19,11.512,3.149,-0.299,-0.299,7.701,-0.299,2017
683,Charles City County,0.142,-0.142,-0.076,0.383,-0.083,-0.142,-0.142,-0.142,-0.142,2017
684,Charlotte County,0.306,-0.092,-0.21,0.967,-0.249,0.28600000000000003,-0.306,9.694,-0.306,2017
685,Chesterfield County,0.166,-0.004,-0.097,0.519,-0.091,-0.14,-0.166,-0.15,-0.166,2017
686,Clarke County,0.138,-0.062,-0.077,2.674,0.408,-0.138,-0.138,-0.138,-0.138,2017
687,Craig County,0.059,-0.018000000000000002,-0.019,8.274,-0.059,-0.059,-0.059,-0.059,-0.059,2017
688,Culpeper County,0.189,-0.05,-0.073,0.679,0.006,-0.121,-0.189,0.024,-0.189,2017
689,Cumberland County,0.315,0.126,-0.037000000000000005,0.108,-0.194,-0.315,-0.315,-0.315,-0.315,2017
690,Dickenson County,0.428,-0.045,-0.219,46.631,11.337,-0.428,-0.428,-0.428,-0.428,2017
691,Dinwiddie County,0.161,0.066,-0.031,0.09,-0.12,-0.161,-0.161,-0.161,-0.161,2017
692,Essex County,0.173,0.063,-0.021,0.139,-0.129,-0.173,-0.173,-0.173,-0.173,2017
693,Fairfax County,0.013,-0.0,-0.004,0.092,0.002,-0.013,-0.013,-0.012,-0.013,2017
694,Fauquier County,0.114,-0.008,-0.049,0.484,0.108,-0.046,-0.079,-0.114,-0.114,2017
695,Floyd County,0.197,-0.04,-0.09,5.462999999999999,0.465,0.18600000000000005,-0.197,-0.197,-0.197,2017
696,Fluvanna County,0.155,-0.015,-0.068,0.6509999999999999,-0.069,-0.155,-0.155,0.92,-0.155,2017
697,Franklin County,0.277,0.014,-0.129,1.457,-0.011,-0.277,-0.277,-0.277,0.36,2017
698,Frederick County,0.173,-0.022,-0.08199999999999999,1.63,0.5660000000000001,-0.122,-0.173,-0.173,-0.173,2017
699,Giles County,0.388,-0.024,-0.084,5.672999999999999,1.238,-0.388,-0.388,-0.388,-0.388,2017
700,Gloucester County,0.225,0.028,-0.123,0.912,-0.16,-0.076,-0.225,-0.225,-0.225,2017
701,Goochland County,0.097,0.015,-0.054000000000000006,0.28600000000000003,-0.097,-0.097,-0.097,-0.097,-0.097,2017
702,Grayson County,0.236,0.025,-0.085,0.335,0.9,-0.236,-0.236,9.764,-0.236,2017
703,Greene County,0.168,-0.049,-0.123,2.147,0.28,-0.168,-0.168,-0.168,-0.168,2017
704,Greensville County,0.389,0.377,0.14300000000000002,-0.097,-0.348,0.14300000000000002,-0.389,-0.389,-0.389,2017
705,Halifax County,0.269,0.053,-0.094,0.375,-0.254,-0.269,-0.269,0.693,0.506,2017
706,Hanover County,0.122,-0.026,-0.075,0.903,0.073,-0.003,-0.122,0.001,-0.122,2017
707,Henrico County,0.207,0.008,-0.11,0.514,-0.109,-0.17600000000000002,-0.207,-0.173,-0.207,2017
708,Henry County,0.5589999999999999,0.155,-0.261,0.938,-0.362,-0.491,-0.5589999999999999,0.066,-0.5589999999999999,2017
709,Highland County,0.226,-0.133,-0.043,6.917000000000002,9.774,-0.226,-0.226,-0.226,-0.226,2017
710,Isle of Wight County,0.16699999999999998,-0.016,-0.122,0.5539999999999999,-0.101,0.005,-0.16699999999999998,1.194,-0.16699999999999998,2017
711,James City County,0.175,0.054000000000000006,-0.051,0.19,-0.1,-0.175,-0.175,0.171,-0.175,2017
712,King and Queen County,0.157,-0.035,-0.157,0.502,-0.048,0.618,-0.157,-0.157,-0.157,2017
713,King George County,0.209,-0.065,-0.1,1.044,-0.115,-0.209,-0.209,-0.209,-0.209,2017
714,King William County,0.12,0.003,-0.075,0.539,-0.052000000000000005,-0.12,-0.12,-0.12,-0.12,2017
715,Lancaster County,0.224,-0.11,-0.122,0.765,-0.162,-0.224,-0.224,-0.224,-0.224,2017
716,Lee County,0.439,-0.123,-0.234,4.642,6.055,-0.439,-0.439,-0.439,-0.439,2017
717,Loudoun County,0.031,0.002,-0.019,0.303,0.014,-0.031,-0.031,-0.028,-0.031,2017
718,Louisa County,0.309,0.054000000000000006,-0.13699999999999998,0.7959999999999999,-0.242,-0.309,-0.309,-0.309,-0.309,2017
719,Lunenburg County,0.08900000000000001,-0.015,-0.009000000000000001,0.041,0.018000000000000002,-0.08900000000000001,-0.08900000000000001,-0.08900000000000001,-0.08900000000000001,2017
720,Madison County,0.121,-0.049,-0.054000000000000006,0.8370000000000001,0.049,0.389,-0.121,-0.121,-0.121,2017
721,Mathews County,0.276,-0.061,-0.124,2.573,-0.276,-0.276,-0.276,-0.276,-0.276,2017
722,Mecklenburg County,0.336,-0.059,-0.152,0.624,-0.154,-0.336,-0.336,-0.336,-0.336,2017
723,Middlesex County,0.339,-0.193,-0.157,1.847,-0.227,-0.339,-0.339,4.423,-0.339,2017
724,Montgomery County,0.196,0.057,-0.08,1.008,0.122,-0.196,-0.196,-0.196,-0.16,2017
725,Nelson County,0.277,-0.0,-0.23,1.959,0.047,-0.277,-0.277,-0.277,-0.277,2017
726,New Kent County,0.14800000000000002,-0.003,-0.102,0.621,0.079,-0.14800000000000002,-0.14800000000000002,-0.14800000000000002,-0.14800000000000002,2017
727,Northampton County,0.28600000000000003,0.017,-0.232,0.807,-0.242,-0.28600000000000003,-0.28600000000000003,-0.28600000000000003,-0.28600000000000003,2017
